City,YearMonth,Period,Year,Monthly_Mean,Monthly_SD,n_days
London,2024-08-01,Post-Pandemic,2024,6.896551724137931,3.394794624402472,29
London,2024-09-01,Post-Pandemic,2024,7.966666666666667,6.183868521003456,30
London,2024-10-01,Post-Pandemic,2024,7.129032258064516,3.4808230394919626,31
London,2024-11-01,Post-Pandemic,2024,12.433333333333334,7.55979991220956,30
London,2024-12-01,Post-Pandemic,2024,5.967741935483871,3.082032564912771,31
Manchester,2020-01-01,Pandemic,2020,9,5.11207720338155,31
Manchester,2020-02-01,Pandemic,2020,8.10344827586207,4.654834871907817,29
Manchester,2020-03-01,Pandemic,2020,10.03225806451613,6.645719780268309,31
Manchester,2020-04-01,Pandemic,2020,11.233333333333333,5.922973003095852,30
Manchester,2020-05-01,Pandemic,2020,6.870967741935484,2.3486440837764384,31
Manchester,2020-06-01,Pandemic,2020,7.6,3.953174193846832,30
Manchester,2020-07-01,Pandemic,2020,3.8125,0.9105858919765157,16
Manchester,2020-08-01,Pandemic,2020,6.419354838709677,4.080638786173778,31
Manchester,2020-09-01,Pandemic,2020,7.433333333333334,3.4509702117373964,30
Manchester,2020-10-01,Pandemic,2020,6.32258064516129,2.4547518105936703,31
Manchester,2020-11-01,Pandemic,2020,11.533333333333333,10.081506911627617,30
Manchester,2020-12-01,Pandemic,2020,8.516129032258064,5.09817593355333,31
Manchester,2021-01-01,Pandemic,2021,9.387096774193548,5.936763536668997,31
Manchester,2021-02-01,Pandemic,2021,8.153846153846153,4.323815978436711,26
Manchester,2021-03-01,Pandemic,2021,11.387096774193548,8.643600404749705,31
Manchester,2021-04-01,Pandemic,2021,9.433333333333334,4.423162648613767,30
Manchester,2021-05-01,Pandemic,2021,6.903225806451613,3.3897378336156265,31
Manchester,2021-06-01,Pandemic,2021,7.6,2.835732587947042,30
Manchester,2021-07-01,Pandemic,2021,8.67741935483871,3.58131350926066,31
Manchester,2021-08-01,Pandemic,2021,7.129032258064516,2.1093748755475867,31
Manchester,2021-09-01,Pandemic,2021,9.892857142857142,5.3217880990723945,28
Manchester,2021-10-01,Pandemic,2021,6.806451612903226,2.54845515085394,31
Manchester,2021-11-01,Pandemic,2021,10.233333333333333,5.062937223917884,30
Manchester,2021-12-01,Pandemic,2021,10.451612903225806,5.65000713673543,31
Manchester,2022-01-01,Post-Pandemic,2022,12.548387096774194,6.6725243083229975,31
Manchester,2022-02-01,Post-Pandemic,2022,7.321428571428571,2.5827572322297194,28
Manchester,2022-03-01,Post-Pandemic,2022,16.483870967741936,10.47813904514835,31
Manchester,2022-04-01,Post-Pandemic,2022,11.130434782608695,3.684171891978477,23
Manchester,2022-05-01,Post-Pandemic,2022,7.290322580645161,3.3979753617617336,31
Manchester,2022-06-01,Post-Pandemic,2022,6.9,1.8448436995751345,30
Manchester,2022-07-01,Post-Pandemic,2022,6,2.265686062395524,31
Manchester,2022-08-01,Post-Pandemic,2022,7,2.309401076758503,31
Manchester,2022-09-01,Post-Pandemic,2022,7.566666666666666,2.595531084228313,30
Manchester,2022-10-01,Post-Pandemic,2022,7.838709677419355,2.2225626979315023,31
Manchester,2022-11-01,Post-Pandemic,2022,10.7,5.414858230385391,30
Manchester,2022-12-01,Post-Pandemic,2022,14.35483870967742,9.042670649377776,31
Manchester,2023-01-01,Post-Pandemic,2023,9.451612903225806,5.548805935679131,31
Manchester,2023-02-01,Post-Pandemic,2023,10.964285714285714,7.6229776570437595,28
Manchester,2023-03-01,Post-Pandemic,2023,6.925925925925926,2.2689530951846817,27
Manchester,2023-04-01,Post-Pandemic,2023,11.461538461538462,4.588949938543843,26
Manchester,2023-05-01,Post-Pandemic,2023,9,2.6204325342711394,31
Manchester,2023-06-01,Post-Pandemic,2023,9.4,3.792915355838003,30
Manchester,2023-07-01,Post-Pandemic,2023,5.419354838709677,1.5869088095705037,31
Manchester,2023-08-01,Post-Pandemic,2023,5.580645161290323,1.3360188009751732,31
Manchester,2023-09-01,Post-Pandemic,2023,9.633333333333333,4.986072556655176,30
Manchester,2023-10-01,Post-Pandemic,2023,7.967741935483871,2.8341238618867965,31
Manchester,2023-11-01,Post-Pandemic,2023,7.8,3.1937438845342623,5
Manchester,2024-03-01,Post-Pandemic,2024,7.636363636363637,3.585323619221207,11
Manchester,2024-04-01,Post-Pandemic,2024,6.6,1.8118384642924588,30
Manchester,2024-05-01,Post-Pandemic,2024,10.516129032258064,4.202149987343268,31
Manchester,2024-06-01,Post-Pandemic,2024,6.633333333333334,2.092405534197477,30
Manchester,2024-07-01,Post-Pandemic,2024,5.580645161290323,2.0619439621933973,31
Manchester,2024-08-01,Post-Pandemic,2024,8,3.5870136139505613,31
Manchester,2024-09-01,Post-Pandemic,2024,9.633333333333333,5.750462250285104,30
Manchester,2024-10-01,Post-Pandemic,2024,7.935483870967742,2.2351060209151563,31
Manchester,2024-11-01,Post-Pandemic,2024,14.133333333333333,6.569172169193448,30
Manchester,2024-12-01,Post-Pandemic,2024,8.096774193548388,2.650218088003041,31
Sheffield,2020-01-01,Pandemic,2020,7.645161290322581,5.313808346166142,31
Sheffield,2020-02-01,Pandemic,2020,6.137931034482759,5.201127198784032,29
Sheffield,2020-03-01,Pandemic,2020,10,8.378544026261364,31
Sheffield,2020-04-01,Pandemic,2020,11.066666666666666,4.638172450239525,30
Sheffield,2020-05-01,Pandemic,2020,7.387096774193548,3.0075174630120736,31
Sheffield,2020-06-01,Pandemic,2020,9.833333333333334,6.400879968239999,30
Sheffield,2020-07-01,Pandemic,2020,3.689655172413793,1.4663718169068578,29
Sheffield,2020-08-01,Pandemic,2020,6.67741935483871,5.275017199176975,31
Sheffield,2020-09-01,Pandemic,2020,6.766666666666667,3.125902168625258,30
Sheffield,2020-10-01,Pandemic,2020,5.645161290322581,2.7392016731981625,31
Sheffield,2020-11-01,Pandemic,2020,14.4,16.080830309666098,30
Sheffield,2020-12-01,Pandemic,2020,7.838709677419355,4.083272986168068,31
Sheffield,2021-01-01,Pandemic,2021,7.290322580645161,3.752275295400528,31
Sheffield,2021-02-01,Pandemic,2021,9.107142857142858,4.748015458446908,28
Sheffield,2021-03-01,Pandemic,2021,9.258064516129032,8.422065233403202,31
Sheffield,2021-04-01,Pandemic,2021,9.333333333333334,5.773502691896258,30
Sheffield,2021-05-01,Pandemic,2021,5.612903225806452,3.343425582192,31
Sheffield,2021-06-01,Pandemic,2021,6.833333333333333,3.333045964624378,30
Sheffield,2021-07-01,Pandemic,2021,8.290322580645162,3.9174272883028456,31
Sheffield,2021-08-01,Pandemic,2021,5.517241379310345,2.1649924060436336,29
Sheffield,2021-09-01,Pandemic,2021,8.866666666666667,5.62465835488658,30
Sheffield,2021-10-01,Pandemic,2021,5.580645161290323,2.895677163732024,31
Sheffield,2021-11-01,Pandemic,2021,6.433333333333334,3.8567749018679014,30
Sheffield,2021-12-01,Pandemic,2021,7.548387096774194,4.829345778173405,31
Sheffield,2022-01-01,Post-Pandemic,2022,10.407407407407407,7.7273702326374085,27
Sheffield,2022-02-01,Post-Pandemic,2022,5.285714285714286,2.1231901723436146,28
Sheffield,2022-03-01,Post-Pandemic,2022,19.448275862068964,13.886237294778471,29
Sheffield,2022-04-01,Post-Pandemic,2022,9.571428571428571,6.057921483348286,28
Sheffield,2022-05-01,Post-Pandemic,2022,6.225806451612903,3.4225689904841445,31
Sheffield,2022-06-01,Post-Pandemic,2022,6.133333333333334,2.063364064911429,30
Sheffield,2022-07-01,Post-Pandemic,2022,4.870967741935484,3.3340859365436373,31
Sheffield,2022-08-01,Post-Pandemic,2022,5.548387096774194,2.8500141482387926,31
Sheffield,2022-09-01,Post-Pandemic,2022,5.466666666666667,2.9329675843034324,30
Sheffield,2022-10-01,Post-Pandemic,2022,6,2.280350850198276,31
Sheffield,2022-11-01,Post-Pandemic,2022,7.833333333333333,4.299826246155353,30
Sheffield,2022-12-01,Post-Pandemic,2022,9.35483870967742,6.755483634780337,31
Sheffield,2023-01-01,Post-Pandemic,2023,6.935483870967742,5.446316699513337,31
Sheffield,2023-02-01,Post-Pandemic,2023,9.392857142857142,8.341503930987974,28
Sheffield,2023-03-01,Post-Pandemic,2023,6.032258064516129,1.9745695052802765,31
Sheffield,2023-04-01,Post-Pandemic,2023,10.4,5.340799371913766,30
Sheffield,2023-05-01,Post-Pandemic,2023,7.935483870967742,2.619611725313095,31
Sheffield,2023-06-01,Post-Pandemic,2023,8.533333333333333,4.431340836495812,30
Sheffield,2023-07-01,Post-Pandemic,2023,3.935483870967742,1.5041162160544141,31
Sheffield,2023-08-01,Post-Pandemic,2023,4.064516129032258,1.364685162005453,31
Sheffield,2023-09-01,Post-Pandemic,2023,9.066666666666666,6.197515260352237,30
Sheffield,2023-10-01,Post-Pandemic,2023,7.066666666666666,3.571277500909968,30
Sheffield,2023-11-01,Post-Pandemic,2023,7.285714285714286,3.9238788713243173,28
Sheffield,2023-12-01,Post-Pandemic,2023,5.870967741935484,3.593901644766877,31
Sheffield,2024-01-01,Post-Pandemic,2024,6.32258064516129,2.9595843939557183,31
Sheffield,2024-02-01,Post-Pandemic,2024,6.793103448275862,4.012296370843969,29
Sheffield,2024-03-01,Post-Pandemic,2024,11.35483870967742,9.576180126044601,31
Sheffield,2024-04-01,Post-Pandemic,2024,5.066666666666666,1.9464084224865132,30
Sheffield,2024-05-01,Post-Pandemic,2024,10.451612903225806,5.506594287321456,31
Sheffield,2024-06-01,Post-Pandemic,2024,5.633333333333334,2.9534705865721986,30
Sheffield,2024-07-01,Post-Pandemic,2024,4.580645161290323,1.6283773835403779,31
Sheffield,2024-08-01,Post-Pandemic,2024,6.774193548387097,3.8358804067154724,31
Sheffield,2024-09-01,Post-Pandemic,2024,9.666666666666666,7.747450451971095,30
Sheffield,2024-10-01,Post-Pandemic,2024,6.967741935483871,3.3712892782805604,31
Sheffield,2024-11-01,Post-Pandemic,2024,10.566666666666666,7.000903061617188,30
Sheffield,2024-12-01,Post-Pandemic,2024,5.935483870967742,3.7853708217378803,31
